L4 | Wed Mar 28 02:56:45 2018 (867 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:56:45 2018 (867 ms) | general |    1440 x 900

L5 | Wed Mar 28 02:56:45 2018 (867 ms) | general |    1400 x 1050

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1366 x 768

L4 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1360 x 768

L4 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1280 x 1024

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1280 x 960

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1280 x 800

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1280 x 768

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1280 x 720

L4 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1280 x 600

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1152 x 864

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    1024 x 768

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    800 x 600

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    640 x 480

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    640 x 400

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    512 x 384

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    400 x 300

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    320 x 240

L5 | Wed Mar 28 02:56:45 2018 (868 ms) | general |    320 x 200

L4 | Wed Mar 28 02:56:46 2018 (93 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=1024 (requested 1024)

L4 | Wed Mar 28 02:56:46 2018 (404 ms) | general | Recording game into file recordedGames\recordedGame00002.txt
L4 | Wed Mar 28 02:56:59 2018 (293 ms) | general | Received compressed data with SHA1 = 3A9E12646C436DD5A42ED66BEF6B5537DE1BE7B7

L4 | Wed Mar 28 02:57:01 2018 (88 ms) | general | Received compressed data with SHA1 = BCF7848C313928BCDA9A4ED5F1081BFD060F8CD1

L4 | Wed Mar 28 02:57:02 2018 (605 ms) | general | Received compressed data with SHA1 = 41B8D134A4479465D66666AFC16F577FD5EFC871

L4 | Wed Mar 28 02:57:05 2018 (41 ms) | general | Received compressed data with SHA1 = E6B4C8A2AB805F9CAB826AB5D7C1657F0074A3FD

L4 | Wed Mar 28 02:57:09 2018 (732 ms) | general | Received compressed data with SHA1 = BEC86ED9B7CF6829495F85C143D791A2C8CB6067

L4 | Wed Mar 28 02:57:10 2018 (686 ms) | general | Received compressed data with SHA1 = 5A3DB5C03FF9D2DE0B1382A483F4A40D1332193B

L4 | Wed Mar 28 02:57:13 2018 (19 ms) | general | Received compressed data with SHA1 = B7D304CABD3D7665F7278A9CB39A473EE1D71389

L4 | Wed Mar 28 02:57:15 2018 (318 ms) | general | Received compressed data with SHA1 = F0A2047BF980EC54F7AD22AA9D38F0D55F7CBCE9

L4 | Wed Mar 28 02:57:17 2018 (48 ms) | general | Received compressed data with SHA1 = 1E3327AC080B4AB3B660FEECB5029D529E0CC382

L4 | Wed Mar 28 02:57:19 2018 (475 ms) | general | Received compressed data with SHA1 = 145B45F2CD5E3081E00CBC0028C26BA8A39344E6

L2 | Wed Mar 28 02:57:20 2018 (445 ms) | general | gameSDL - clearWebRequest:  Requested WebRequest handle not found

L4 | Wed Mar 28 02:57:20 2018 (445 ms) | general | Relaunching game OneLife.exe
L4 | Wed Mar 28 02:57:21 2018 (333 ms) | general | exiting...

L4 | Wed Mar 28 02:57:21 2018 (333 ms) | general | exiting: Deleting sceneHandler

L4 | Wed Mar 28 02:57:21 2018 (333 ms) | general | exiting: calling SDL_CloseAudio

L4 | Wed Mar 28 02:57:21 2018 (371 ms) | general | New game starting up
L4 | Wed Mar 28 02:57:21 2018 (372 ms) | general | Target game image size:  1280x720

L4 | Wed Mar 28 02:57:21 2018 (372 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Mar 28 02:57:21 2018 (372 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Mar 28 02:57:21 2018 (373 ms) | general | The following frame rates are considered possible:
L4 | Wed Mar 28 02:57:21 2018 (373 ms) | general | 30 fps
